age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
23.0,Private,1467090.0,11th,7.0,Divorced,Craft-repair,Own-child,White,Female,0.0,0.0,58.0,United-States,0
74.0,Without-pay,349025.0,Some-college,10.0,Never-married,Other-service,Husband,White,Male,0.0,0.0,37.0,United-States,1
65.0,Private,1063568.0,Masters,14.0,Never-married,Other-service,Unmarried,White,Male,0.0,0.0,35.0,United-States,1
49.0,Self-emp-not-inc,380608.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Female,0.0,0.0,34.0,United-States,1
49.0,,1193059.0,HS-grad,9.0,Never-married,Sales,Husband,White,Female,3103.0,0.0,40.0,United-States,0
80.0,Local-gov,1201647.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0.0,0.0,47.0,Other,0
23.0,Private,1208648.0,Bachelors,13.0,Never-married,Craft-repair,Husband,White,Male,0.0,0.0,45.0,United-States,0
68.0,Private,692352.0,Some-college,10.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,59.0,United-States,1
31.0,Private,1218189.0,Masters,14.0,Never-married,Tech-support,Unmarried,White,Male,0.0,0.0,38.0,Other,0
23.0,Private,393199.0,Masters,14.0,Divorced,Sales,Not-in-family,Black,Male,0.0,0.0,32.0,United-States,0
55.0,Private,1236320.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,44.0,United-States,0
89.0,Private,1296867.0,1st-4th,2.0,Never-married,Prof-specialty,Unmarried,Other,Male,0.0,0.0,28.0,United-States,0
71.0,Private,317265.0,7th-8th,4.0,Never-married,Adm-clerical,Husband,White,Male,0.0,0.0,30.0,United-States,0
73.0,,199347.0,Some-college,10.0,Never-married,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,0
70.0,Private,897865.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,64.0,United-States,1
75.0,Private,297490.0,Some-college,10.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,48.0,United-States,1
54.0,Private,779134.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Female,0.0,0.0,46.0,United-States,0
26.0,Private,454743.0,Bachelors,13.0,Divorced,Prof-specialty,Husband,White,Male,0.0,0.0,28.0,United-States,1
79.0,Private,727397.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,33.0,United-States,1
50.0,Private,880633.0,HS-grad,9.0,Never-married,Adm-clerical,Unmarried,White,Male,0.0,0.0,35.0,United-States,0
54.0,Federal-gov,1016157.0,Masters,14.0,Never-married,Machine-op-inspct,Husband,White,Female,0.0,0.0,37.0,United-States,0
44.0,,1325792.0,Bachelors,13.0,Never-married,Machine-op-inspct,Husband,White,Male,0.0,0.0,25.0,United-States,0
30.0,Private,520066.0,HS-grad,9.0,Divorced,Exec-managerial,Husband,White,Male,0.0,0.0,52.0,Other,1
85.0,Private,968640.0,Some-college,10.0,Never-married,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,42.0,United-States,0
74.0,Private,799626.0,Doctorate,16.0,Never-married,Sales,Husband,White,Female,0.0,0.0,47.0,Mexico,0
64.0,Private,144294.0,HS-grad,9.0,Separated,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,49.0,United-States,0
46.0,Private,1266160.0,9th,5.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,13550.0,0.0,39.0,Other,0
77.0,Private,351510.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,0.0,1740.0,40.0,United-States,0
57.0,Local-gov,191933.0,7th-8th,4.0,Married-civ-spouse,Sales,Not-in-family,White,Female,0.0,2042.0,40.0,United-States,0
49.0,Private,1035163.0,9th,5.0,Divorced,Craft-repair,Husband,White,Female,0.0,0.0,38.0,United-States,0
50.0,Private,373511.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Female,0.0,0.0,32.0,United-States,0
33.0,Private,1270506.0,Masters,14.0,Married-civ-spouse,Protective-serv,Wife,White,Female,0.0,0.0,52.0,United-States,1
23.0,Private,136605.0,Bachelors,13.0,Widowed,Adm-clerical,Not-in-family,Black,Female,0.0,0.0,50.0,United-States,1
58.0,Private,552433.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Male,0.0,1590.0,31.0,United-States,0
82.0,Private,1379349.0,HS-grad,9.0,Separated,Adm-clerical,Own-child,White,Female,0.0,0.0,36.0,United-States,0
21.0,Private,1257825.0,Bachelors,13.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,0.0,1740.0,37.0,United-States,0
80.0,Local-gov,303747.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Own-child,White,Male,0.0,0.0,49.0,Other,0
78.0,Private,331691.0,Masters,14.0,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0.0,0.0,43.0,United-States,0
37.0,Private,74971.0,Prof-school,15.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,25.0,United-States,1
63.0,Private,929847.0,HS-grad,9.0,Never-married,Sales,Husband,White,Female,0.0,0.0,50.0,United-States,1
29.0,Private,866612.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0.0,0.0,39.0,United-States,0
73.0,Private,723847.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,2964.0,0.0,50.0,United-States,1
